Date : 2023-09-21 00:08:00
Directory : d:\WatchWithMe
Total : 131 files,  17864 codes, 1270 comments, 978 blanks, all 20112 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\WatchWithMe\bootstrap\app.php                                                             | PHP                |         17 |         30 |          9 |         56 |
| d:\WatchWithMe\composer.json                                                                 | JSON               |         74 |          0 |          1 |         75 |
| d:\WatchWithMe\composer.lock                                                                 | JSON               |      8,367 |          0 |          1 |      8,368 |
| d:\WatchWithMe\config\app.php                                                                | PHP                |         27 |        131 |         31 |        189 |
| d:\WatchWithMe\config\auth.php                                                               | PHP                |         28 |         74 |         14 |        116 |
| d:\WatchWithMe\config\broadcasting.php                                                       | PHP                |         36 |         23 |         13 |         72 |
| d:\WatchWithMe\config\cache.php                                                              | PHP                |         59 |         34 |         19 |        112 |
| d:\WatchWithMe\config\cors.php                                                               | PHP                |          3 |         29 |          3 |         35 |
| d:\WatchWithMe\config\database.php                                                           | PHP                |         83 |         48 |         22 |        153 |
| d:\WatchWithMe\config\filesystems.php                                                        | PHP                |         32 |         32 |         13 |         77 |
| d:\WatchWithMe\config\hashing.php                                                            | PHP                |         12 |         32 |          9 |         53 |
| d:\WatchWithMe\config\logging.php                                                            | PHP                |         79 |         34 |         19 |        132 |
| d:\WatchWithMe\config\mail.php                                                               | PHP                |         54 |         53 |         19 |        126 |
| d:\WatchWithMe\config\queue.php                                                              | PHP                |         51 |         42 |         17 |        110 |
| d:\WatchWithMe\config\sanctum.php                                                            | PHP                |         15 |         41 |         12 |         68 |
| d:\WatchWithMe\config\services.php                                                           | PHP                |         17 |         11 |          7 |         35 |
| d:\WatchWithMe\config\session.php                                                            | PHP                |         22 |        147 |         33 |        202 |
| d:\WatchWithMe\config\view.php                                                               | PHP                |         10 |         20 |          7 |         37 |
| d:\WatchWithMe\database\factories\UserFactory.php                                            | PHP                |         24 |         11 |          5 |         40 |
| d:\WatchWithMe\database\migrations\2014_10_12_000000_create_users_table.php                  | PHP                |         26 |          6 |          4 |         36 |
| d:\WatchWithMe\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php  | PHP                |         19 |          6 |          4 |         29 |
| d:\WatchWithMe\database\migrations\2019_08_19_000000_create_failed_jobs_table.php            | PHP                |         23 |          6 |          4 |         33 |
| d:\WatchWithMe\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php | PHP                |         24 |          6 |          4 |         34 |
| d:\WatchWithMe\database\migrations\2023_09_18_115214_create_rooms_table.php                  | PHP                |         24 |          6 |          4 |         34 |
| d:\WatchWithMe\database\seeders\DatabaseSeeder.php                                           | PHP                |          9 |          9 |          5 |         23 |
| d:\WatchWithMe\jsconfig.json                                                                 | JSON with Comments |          5 |          5 |          0 |         10 |
| d:\WatchWithMe\package-lock.json                                                             | JSON               |      5,590 |          0 |          1 |      5,591 |
| d:\WatchWithMe\package.json                                                                  | JSON               |         32 |          0 |          1 |         33 |
| d:\WatchWithMe\phpunit.xml                                                                   | XML                |         29 |          2 |          1 |         32 |
| d:\WatchWithMe\postcss.config.js                                                             | JavaScript         |          6 |          0 |          1 |          7 |
| d:\WatchWithMe\public\index.php                                                              | PHP                |         14 |         30 |         12 |         56 |
| d:\WatchWithMe\resources\css\app.css                                                         | CSS                |          9 |          0 |          1 |         10 |
| d:\WatchWithMe\resources\js\Components\ApplicationLogo.jsx                                   | JavaScript JSX     |         16 |          0 |          3 |         19 |
| d:\WatchWithMe\resources\js\Components\Checkbox.jsx                                          | JavaScript JSX     |         12 |          0 |          1 |         13 |
| d:\WatchWithMe\resources\js\Components\DangerButton.jsx                                      | JavaScript JSX     |         15 |          0 |          1 |         16 |
| d:\WatchWithMe\resources\js\Components\Dropdown.jsx                                          | JavaScript JSX     |         75 |          0 |         17 |         92 |
| d:\WatchWithMe\resources\js\Components\InputError.jsx                                        | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\WatchWithMe\resources\js\Components\InputLabel.jsx                                        | JavaScript JSX     |          7 |          0 |          1 |          8 |
| d:\WatchWithMe\resources\js\Components\Modal.jsx                                             | JavaScript JSX     |         53 |          0 |          5 |         58 |
| d:\WatchWithMe\resources\js\Components\NavLink.jsx                                           | JavaScript JSX     |         17 |          0 |          2 |         19 |
| d:\WatchWithMe\resources\js\Components\Navbar.jsx                                            | JavaScript JSX     |        132 |          0 |         13 |        145 |
| d:\WatchWithMe\resources\js\Components\PrimaryButton.jsx                                     | JavaScript JSX     |         15 |          0 |          1 |         16 |
| d:\WatchWithMe\resources\js\Components\PubNavbar.jsx                                         | JavaScript JSX     |        136 |          6 |          5 |        147 |
| d:\WatchWithMe\resources\js\Components\ResponsiveNavLink.jsx                                 | JavaScript JSX     |         15 |          0 |          2 |         17 |
| d:\WatchWithMe\resources\js\Components\SecondaryButton.jsx                                   | JavaScript JSX     |         16 |          0 |          1 |         17 |
| d:\WatchWithMe\resources\js\Components\TextInput.jsx                                         | JavaScript JSX     |         21 |          0 |          3 |         24 |
| d:\WatchWithMe\resources\js\Layouts\AuthenticatedLayout.jsx                                  | JavaScript JSX     |          9 |          2 |          2 |         13 |
| d:\WatchWithMe\resources\js\Layouts\GuestLayout.jsx                                          | JavaScript JSX     |         17 |          6 |          4 |         27 |
| d:\WatchWithMe\resources\js\Layouts\MainContainer.jsx                                        | JavaScript JSX     |         11 |          0 |          0 |         11 |
| d:\WatchWithMe\resources\js\Pages\Auth\ConfirmPassword.jsx                                   | JavaScript JSX     |         49 |          0 |         11 |         60 |
| d:\WatchWithMe\resources\js\Pages\Auth\ForgotPassword.jsx                                    | JavaScript JSX     |         41 |          0 |         10 |         51 |
| d:\WatchWithMe\resources\js\Pages\Auth\Login.jsx                                             | JavaScript JSX     |         82 |          0 |         16 |         98 |
| d:\WatchWithMe\resources\js\Pages\Auth\Register.jsx                                          | JavaScript JSX     |         98 |          0 |         20 |        118 |
| d:\WatchWithMe\resources\js\Pages\Auth\ResetPassword.jsx                                     | JavaScript JSX     |         75 |          0 |         16 |         91 |
| d:\WatchWithMe\resources\js\Pages\Auth\VerifyEmail.jsx                                       | JavaScript JSX     |         37 |          0 |          9 |         46 |
| d:\WatchWithMe\resources\js\Pages\Dashboard.jsx                                              | JavaScript JSX     |         69 |          0 |          5 |         74 |
| d:\WatchWithMe\resources\js\Pages\Errors\401.jsx                                             | JavaScript JSX     |          9 |          0 |          1 |         10 |
| d:\WatchWithMe\resources\js\Pages\Errors\403.jsx                                             | JavaScript JSX     |          9 |          0 |          1 |         10 |
| d:\WatchWithMe\resources\js\Pages\Errors\404.jsx                                             | JavaScript JSX     |          9 |          0 |          1 |         10 |
| d:\WatchWithMe\resources\js\Pages\Errors\419.jsx                                             | JavaScript JSX     |          9 |          0 |          1 |         10 |
| d:\WatchWithMe\resources\js\Pages\Errors\500.jsx                                             | JavaScript JSX     |         12 |          1 |          3 |         16 |
| d:\WatchWithMe\resources\js\Pages\MainPage.jsx                                               | JavaScript JSX     |         31 |          0 |          3 |         34 |
| d:\WatchWithMe\resources\js\Pages\Profile\Edit.jsx                                           | JavaScript JSX     |         31 |          1 |          5 |         37 |
| d:\WatchWithMe\resources\js\Pages\Profile\Partials\DeleteUserForm.jsx                        | JavaScript JSX     |         82 |          0 |         18 |        100 |
| d:\WatchWithMe\resources\js\Pages\Profile\Partials\UpdatePasswordForm.jsx                    | JavaScript JSX     |         95 |          0 |         19 |        114 |
